TeamId,TeamName,SubmissionDate,Score
8478342,qihuaz,"2022-05-07 21:26:53",1658.2
8472697,"Shuntaro Tanaka","2022-05-10 03:45:02",1541.7
8503796,"R(u)L(e) based agent","2022-05-07 20:29:15",1380.3
8481047,"Gregor Lied","2022-05-11 09:07:00",1351.4
8549029,LiamKirwin,"2022-05-07 08:40:57",1327.0
8471363,"why not?","2022-05-10 21:30:10",1307.8
8469222,EG,"2022-05-10 08:18:34",1257.9
8569659,"Harm Buisman","2022-05-10 19:29:35",1228.0
8539491,"Manuel Campos","2022-05-11 05:26:29",1166.5
8496366,basilisk1337,"2022-05-08 18:42:49",1163.5
8469528,robga,"2022-04-20 16:07:25",1159.4
8500149,Kirderf,"2022-05-11 09:36:44",1122.8
8507937,shichuanqi,"2022-05-07 10:57:56",1096.9
8481936,"ma 127","2022-05-10 13:55:07",1090.9
8542096,Garrus,"2022-05-10 17:51:43",1053.7
8478784,bomac1,"2022-05-10 20:09:36",1038.1
8474592,Thomas,"2022-05-05 16:41:30",1031.7
8562704,"Jin Niu","2022-05-10 18:07:59",1029.6
8469753,GarrieD,"2022-05-06 17:32:01",1025.0
8474836,"Khalil Barbouchi","2022-04-15 14:45:36",1018.4
8587689,JieDeng_sc,"2022-05-11 01:20:33",1005.8
8509757,"Marek Nurzynski","2022-04-26 15:39:21",1004.1
8499507,digimagi,"2022-05-08 01:58:30",1002.5
8473982,"RL is all you need","2022-05-06 13:49:22",991.1
8481641,"Jean-Philippe MARY","2022-04-19 13:27:04",987.2
8497147,"Harijs Ceriņš","2022-05-11 06:07:33",985.9
8477342,"Dr Kore","2022-05-03 17:23:04",985.5
8560782,yjcqwq,"2022-05-01 10:42:58",983.3
8586825,"Andrej Marinchenko","2022-05-10 16:12:58",979.4
8500086,"Antonio Marin","2022-04-19 06:32:05",977.1
8562838,"Léon Smeets","2022-05-05 17:02:03",976.9
8498610,MPWARE,"2022-05-08 08:44:46",974.3
8480310,mafuf,"2022-05-09 07:02:33",973.4
8477093,"Nguyễn Hưng","2022-04-16 07:35:12",973.4
8479379,"Ulrich G.","2022-05-06 08:50:39",967.5
8489864,"Tong Hui Kang","2022-04-26 06:28:48",965.7
8489689,"Satoshi Datamoto","2022-04-19 09:33:54",965.3
8493238,"Max Pridy","2022-05-09 13:21:04",964.9
8579565,Andrij,"2022-05-08 18:59:53",964.4
8568177,Wolf7428,"2022-05-02 22:49:10",962.7
8470837,UnfriendlyAI,"2022-05-07 10:04:45",961.8
8594610,"Roland Luethy","2022-05-10 03:01:45",959.0
8471303,MA,"2022-05-03 13:42:30",958.8
8512651,"Hiroshi Sakiyama","2022-04-25 09:35:32",958.4
8481221,7200,"2022-04-30 01:25:21",957.1
8485454,"Ming Fong","2022-04-16 06:34:11",955.6
8565264,"Miyuki Suzuki","2022-05-04 10:38:38",955.4
8469252,Checkmate,"2022-04-30 07:20:01",954.5
